IDENTIFIER

0, Dummy
1, Dummy
2, hasOwnProperty
3, Dummy
4, singleton
5, this
6, Dummy
7, singleton
8, Dummy
9, singleton
10, Dummy
11, prototype
12, value
13, Dummy
14, prototype
15, setValue
16, value
17, this
18, value
19, value
20, Dummy
21, prototype
22, getValue
23, this
24, value
25, foo
26, Dummy
27, bar
28, Dummy
29, bar
30, setValue
31, console
32, log
33, foo
34, bar
35, console
36, log
37, foo
38, getValue
39, bar
40, getValue
41, baz
42, Dummy
43, console
44, log
45, baz
46, bar
47, baz
48, getValue
49, setTimeouts
50, i
51, i
52, slen
53, i
54, setTimeout
55, i
56, setTimeout
57, i
58, arr
59, alert
60, arr
61, obj
62, arr
63, alert
64, obj
65, key
66, stressString
67, alert
68, stressString
69, testIfs
70, a
71, a
72, b
73, b
74, d
75, d
76, c
77, str
78, baz
79, decs
80, i
81, i
82, slen
83, i
84, baz
85, i
86, i
87, a
